lbd_LESIA_nom	res_LESIA_true
1228.2	5.08571
1232.2	5.10862
1236.3	5.13200
1240.4	5.15544
1244.6	5.17936
1248.7	5.20292
1253.0	5.22809
1257.3	5.25334
1261.6	5.27866
1266.0	5.30447
1270.4	5.33035
1274.8	5.35630
1279.3	5.38275
1283.8	5.40927
1288.3	5.43586
1292.9	5.46296
1297.5	5.49013
1302.2	5.51780
1306.9	5.54554
1311.6	5.57337
1316.3	5.60128
1321.0	5.62926
1325.8	5.65775
1330.6	5.68632
1335.5	5.71541
1340.3	5.74414
1345.2	5.77339
1350.1	5.80272
1355.0	5.83214
1360.0	5.86207
1364.9	5.89165
1369.9	5.92176
1374.9	5.95195
1380.0	5.98266
1385.0	6.01302
1390.1	6.04391
1395.2	6.07489
1400.3	6.10596
1405.4	6.13712
1410.5	6.16837
1415.7	6.20015
1420.8	6.23158
1426.0	6.26354
1431.2	6.29560
1436.5	6.32819
1441.7	6.36044
1446.9	6.39278
1452.2	6.42566
1457.5	6.45626
1462.8	6.48692
1468.1	6.51765
1473.4	6.54844
1478.8	6.57976
1484.1	6.61069
1489.5	6.64214
1494.9	6.67366
1500.3	6.70525
1505.7	6.73691
1511.2	6.76909
1516.6	6.80090
1522.1	6.83322
1527.6	6.86562
1533.1	6.89809
1538.6	6.93063
1544.1	6.96325
1549.7	6.99639
1555.2	7.02915
1560.8	7.06244
1566.4	7.09581
1572.0	7.12925
1577.7	7.16322
1583.3	7.19682
1589.0	7.22273
1594.7	7.24864
1600.4	7.27455
1606.1	7.30045
1611.9	7.32682
1617.6	7.35273
1623.4	7.37909
1629.2	7.40545
1635.0	7.43182
1640.9	7.45864
1646.7	7.48500
1652.6	7.49478
1658.5	7.49393
1664.4	7.48718
1670.4	7.45922
1676.3	7.44195
1682.3	7.42532
1688.4	7.40933
1694.4	7.39307
1700.4	7.37701
1706.5	7.36155
1712.6	7.34627
1718.8	7.33159
1724.9	7.31665
1731.1	7.30229
1737.3	7.28810
1743.5	7.27405
1749.8	7.27568
1756.0	7.26370
1762.3	7.26722
1768.7	7.27112
1775.0	7.27459
1781.4	7.27845
1787.8	7.28228
1794.2	7.28609
1800.7	7.29028
1807.2	7.29445
1813.7	7.29859
1820.2	7.30271
1826.8	7.30720
1833.4	7.31167
1840.0	7.31610
1846.6	7.32052
1853.3	7.32530
1860.0	7.34748
1866.8	7.37002
1873.5	7.39215
1880.3	7.41465
1887.1	7.43712
1894.0	7.45996
1900.9	7.48277
1907.8	7.50555
1914.7	7.52831
1921.7	7.55143
1928.7	7.57453
1935.7	7.59760
1942.7	7.62065
1949.8	7.64405
1956.9	7.66744
1964.1	7.69118
1971.2	7.71451
1978.4	7.73820
1985.7	7.76226
1992.9	7.78589
2000.2	7.80989
2007.5	7.83386
2014.9	7.85820
2022.3	7.88250
2029.7	7.90678
2037.1	7.93103
2044.6	7.95564
2052.0	7.98444
2059.6	8.00708
2067.1	8.02931
2074.7	8.05188
2082.3	8.07441
2089.9	8.09690
2097.6	8.11974
2105.3	8.14254
2113.0	8.16531
2120.7	8.18803
2128.5	8.21110
2136.2	8.23375
2144.1	8.25712
2151.9	8.28008
2159.8	8.30337
2167.6	8.32625
2175.6	8.34985
2183.5	8.37303
2191.5	8.40299
2199.4	8.43652
2207.4	8.47696
2215.5	8.52115
2223.5	8.56840
2231.6	8.61622
2239.7	8.66422
2247.8	8.71240
2255.9	8.76448
2264.1	8.81719
2272.2	8.86976
2280.4	8.92297
2288.6	8.97643
2296.9	9.03055
2305.1	9.08453
2313.4	9.13916
2321.6	9.19366
2329.9	9.24883
2338.2	9.30426
2346.5	9.35995
2354.8	9.41592
2363.2	9.47257
2371.5	9.52909
2379.9	9.58629
2388.3	9.64377
2396.6	9.70113
2405.0	9.75917
2413.4	9.81751
2421.8	9.87613
2430.2	9.93505
2438.6	9.99426
2447.1	10.05418
2455.5	10.11399
2463.9	10.17409
2472.3	10.23450
2480.8	10.29563
2489.2	10.35666
